Date,Average temperature [K]
2017-03-30_00,284.01984
2017-03-30_06,283.89026
2017-03-30_12,283.86774
2017-03-30_18,283.469
2017-03-31_00,283.38342
2017-03-31_06,282.774
2017-03-31_12,284.24615
2017-03-31_18,283.1703
2017-04-01_00,282.90887
2017-04-01_06,282.69894
2017-04-01_12,283.365
2017-04-01_18,284.07318
2017-04-02_00,282.69598
2017-04-02_06,281.19098
2017-04-02_12,283.41626
2017-04-02_18,282.39212
2017-04-03_00,281.66217
2017-04-03_06,282.7614
2017-04-03_12,283.60468
2017-04-03_18,283.26086
2017-04-04_00,283.15662
2017-04-04_06,282.49097
2017-04-04_12,282.49158
2017-04-04_18,282.78427
2017-04-05_00,282.62247
2017-04-05_06,282.55313
2017-04-05_12,282.36362
2017-04-05_18,282.32
2017-04-06_00,282.6775
2017-04-06_06,282.71436
2017-04-06_12,282.9306
2017-04-06_18,282.5861
2017-04-07_00,281.6607
2017-04-07_06,282.17807
2017-04-07_12,282.84973
2017-04-07_18,282.9319
2017-04-08_00,280.284
2017-04-08_06,280.68915
2017-04-08_12,285.12543
2017-04-08_18,285.67987
2017-04-09_00,283.29816
2017-04-09_06,284.0511
2017-04-09_12,284.39044
2017-04-09_18,284.0635
2017-04-10_00,283.59033
2017-04-10_06,282.11066
2017-04-10_12,282.6431
2017-04-10_18,283.48462
2017-04-11_00,282.58594
2017-04-11_06,282.72867
2017-04-11_12,282.7404
2017-04-11_18,281.7206
2017-04-12_00,283.68103
2017-04-12_06,283.7818
2017-04-12_12,283.89343
2017-04-12_18,284.27765
2017-04-13_00,283.64407
2017-04-13_06,282.71368
2017-04-13_12,282.76413
2017-04-13_18,282.33652
2017-04-14_00,283.54108
2017-04-14_06,283.76138
2017-04-14_12,284.11584
2017-04-14_18,283.29578
2017-04-15_00,283.41962
2017-04-15_06,282.5305
2017-04-15_12,282.76263
2017-04-15_18,283.60864
2017-04-16_00,283.04163
2017-04-16_06,282.94324
2017-04-16_12,284.12866
