Date,Average temperature [K]
2012-04-01_00,297.87085
2012-04-01_06,294.51758
2012-04-01_12,294.5816
2012-04-01_18,305.05365
2012-04-02_00,297.675
2012-04-02_06,294.79544
2012-04-02_12,296.34012
2012-04-02_18,304.2257
2012-04-03_00,297.86298
2012-04-03_06,295.85153
2012-04-03_12,294.67865
2012-04-03_18,304.05978
2012-04-04_00,295.64252
2012-04-04_06,294.36392
2012-04-04_12,293.98962
2012-04-04_18,304.50958
2012-04-05_00,297.1651
2012-04-05_06,295.1435
2012-04-05_12,294.05823
2012-04-05_18,302.85028
2012-04-06_00,297.1831
2012-04-06_06,294.85596
2012-04-06_12,294.50812
2012-04-06_18,303.0082
2012-04-07_00,296.21246
2012-04-07_06,294.48608
2012-04-07_12,295.4084
2012-04-07_18,302.448
2012-04-08_00,295.09814
2012-04-08_06,295.19232
2012-04-08_12,296.2511
2012-04-08_18,302.5301
2012-04-09_00,297.6374
2012-04-09_06,294.4887
2012-04-09_12,295.9818
2012-04-09_18,300.59296
2012-04-10_00,296.0458
2012-04-10_06,294.2024
2012-04-10_12,293.70978
2012-04-10_18,303.88434
2012-04-11_00,295.4422
2012-04-11_06,293.56427
2012-04-11_12,294.0931
2012-04-11_18,303.2602
2012-04-12_00,297.75934
2012-04-12_06,294.18018
2012-04-12_12,296.49823
2012-04-12_18,301.52686
2012-04-13_00,298.72284
2012-04-13_06,293.818
2012-04-13_12,296.29108
2012-04-13_18,304.04126
2012-04-14_00,297.0905
2012-04-14_06,294.9957
2012-04-14_12,297.15326
2012-04-14_18,301.76785
2012-04-15_00,296.58105
2012-04-15_06,294.64496
2012-04-15_12,293.54388
2012-04-15_18,303.0047
2012-04-16_00,296.25345
2012-04-16_06,293.06927
2012-04-16_12,293.754
2012-04-16_18,301.22742
2012-04-17_00,296.6847
2012-04-17_06,294.60333
2012-04-17_12,295.96234
2012-04-17_18,303.20648
2012-04-18_00,296.0664
2012-04-18_06,294.25946
2012-04-18_12,293.57013
2012-04-18_18,303.31384
2012-04-19_00,296.94458
2012-04-19_06,294.5194
