Date,Average temperature [K]
2016-04-24_00,293.9938
2016-04-24_06,297.95062
2016-04-24_12,294.73383
2016-04-24_18,291.77448
2016-04-25_00,291.2066
2016-04-25_06,293.16504
2016-04-25_12,288.98132
2016-04-25_18,290.84305
2016-04-26_00,291.50577
2016-04-26_06,287.30334
2016-04-26_12,284.98108
2016-04-26_18,285.15137
2016-04-27_00,287.51508
2016-04-27_06,288.59177
2016-04-27_12,285.45593
2016-04-27_18,287.5376
2016-04-28_00,289.2422
2016-04-28_06,287.62674
2016-04-28_12,287.04327
2016-04-28_18,287.5124
2016-04-29_00,288.88022
2016-04-29_06,289.148
2016-04-29_12,286.44153
2016-04-29_18,284.34723
2016-04-30_00,287.20532
2016-04-30_06,288.59985
2016-04-30_12,287.23383
2016-04-30_18,287.52234
2016-05-01_00,288.81335
2016-05-01_06,289.09912
2016-05-01_12,287.91986
2016-05-01_18,287.6298
2016-05-02_00,290.3369
2016-05-02_06,291.1922
2016-05-02_12,289.23578
2016-05-02_18,289.07086
2016-05-03_00,289.13983
2016-05-03_06,289.7245
2016-05-03_12,286.7674
2016-05-03_18,289.20935
2016-05-04_00,290.47556
2016-05-04_06,292.34174
2016-05-04_12,290.0591
2016-05-04_18,287.26807
2016-05-05_00,287.7553
2016-05-05_06,288.65512
2016-05-05_12,285.53418
2016-05-05_18,285.3165
2016-05-06_00,288.1046
2016-05-06_06,290.01227
2016-05-06_12,286.5918
2016-05-06_18,285.88995
2016-05-07_00,287.7612
2016-05-07_06,288.71658
2016-05-07_12,286.7669
2016-05-07_18,286.5008
2016-05-08_00,288.0139
2016-05-08_06,287.94467
2016-05-08_12,287.14587
2016-05-08_18,286.47406
2016-05-09_00,289.01825
2016-05-09_06,289.59592
2016-05-09_12,284.44855
2016-05-09_18,284.6195
2016-05-10_00,288.54074
2016-05-10_06,290.86804
2016-05-10_12,288.49158
2016-05-10_18,287.19592
2016-05-11_00,289.76184
2016-05-11_06,294.74707
2016-05-11_12,288.15598
2016-05-11_18,286.4013
2016-05-12_00,291.08752
2016-05-12_06,294.6828
2016-05-12_12,288.92337
2016-05-12_18,287.80292
2016-05-13_00,290.30423
2016-05-13_06,292.412
2016-05-13_12,287.82495
2016-05-13_18,290.39432
2016-05-14_00,290.46466
2016-05-14_06,289.71173
2016-05-14_12,286.70898
2016-05-14_18,287.77838
2016-05-15_00,290.04163
2016-05-15_06,290.62408
2016-05-15_12,288.30432
2016-05-15_18,287.3244
2016-05-16_00,288.2287
2016-05-16_06,290.92752
2016-05-16_12,287.96765
2016-05-16_18,287.8286
2016-05-17_00,288.95764
2016-05-17_06,290.97525
2016-05-17_12,284.46542
2016-05-17_18,285.01846
2016-05-18_00,288.14114
2016-05-18_06,290.95612
2016-05-18_12,288.0191
2016-05-18_18,286.60675
2016-05-19_00,287.985
2016-05-19_06,290.48346
2016-05-19_12,287.50558
2016-05-19_18,286.91614
2016-05-20_00,290.29645
2016-05-20_06,292.27905
2016-05-20_12,289.1844
2016-05-20_18,290.04987
2016-05-21_00,288.91815
2016-05-21_06,284.7173
2016-05-21_12,283.54083
2016-05-21_18,283.74304
2016-05-22_00,285.70813
2016-05-22_06,289.09958
2016-05-22_12,288.49188
2016-05-22_18,288.24524
2016-05-23_00,288.79077
2016-05-23_06,291.49982
2016-05-23_12,290.77573
2016-05-23_18,291.1015
2016-05-24_00,288.75208
2016-05-24_06,288.60468
2016-05-24_12,285.20404
2016-05-24_18,285.7051
2016-05-25_00,285.6468
2016-05-25_06,288.13757
2016-05-25_12,286.2063
2016-05-25_18,286.71655
2016-05-26_00,287.16367
2016-05-26_06,289.23352
2016-05-26_12,286.4031
2016-05-26_18,286.464
2016-05-27_00,289.13016
2016-05-27_06,290.52887
2016-05-27_12,287.78088
2016-05-27_18,287.2536
2016-05-28_00,286.98248
2016-05-28_06,288.99817
2016-05-28_12,284.8114
2016-05-28_18,284.20483
2016-05-29_00,285.34363
2016-05-29_06,286.732
2016-05-29_12,284.85706
2016-05-29_18,284.85187
2016-05-30_00,285.2074
2016-05-30_06,287.71213
2016-05-30_12,285.1604
2016-05-30_18,283.78217
2016-05-31_00,285.8646
2016-05-31_06,289.18195
2016-05-31_12,283.9906
2016-05-31_18,283.69434
2016-06-01_00,286.82574
2016-06-01_06,290.20477
2016-06-01_12,285.34824
2016-06-01_18,284.72455
2016-06-02_00,288.6386
2016-06-02_06,289.91333
2016-06-02_12,286.4363
2016-06-02_18,286.8474
2016-06-03_00,289.10565
