Date,Average temperature [K]
2017-03-31_00,289.26038
2017-03-31_06,291.2574
2017-03-31_12,290.9522
2017-03-31_18,289.7245
2017-04-01_00,289.72382
2017-04-01_06,291.5168
2017-04-01_12,290.18384
2017-04-01_18,289.29877
2017-04-02_00,288.66083
2017-04-02_06,291.3399
2017-04-02_12,290.61157
2017-04-02_18,290.0391
2017-04-03_00,290.03912
2017-04-03_06,293.1325
2017-04-03_12,290.62177
2017-04-03_18,289.90344
2017-04-04_00,289.28748
2017-04-04_06,292.11792
2017-04-04_12,292.30066
2017-04-04_18,289.67685
2017-04-05_00,291.51358
2017-04-05_06,292.01456
2017-04-05_12,292.9305
2017-04-05_18,290.42743
2017-04-06_00,290.59692
2017-04-06_06,293.49805
2017-04-06_12,292.2177
2017-04-06_18,288.6154
2017-04-07_00,290.31696
2017-04-07_06,292.67514
2017-04-07_12,291.26526
2017-04-07_18,289.54272
2017-04-08_00,289.89777
2017-04-08_06,291.6867
2017-04-08_12,291.7475
2017-04-08_18,291.89667
2017-04-09_00,290.43878
2017-04-09_06,293.17413
2017-04-09_12,290.93927
2017-04-09_18,288.56595
2017-04-10_00,290.57764
2017-04-10_06,291.98907
2017-04-10_12,291.75003
2017-04-10_18,289.5266
2017-04-11_00,290.1919
2017-04-11_06,291.8903
2017-04-11_12,290.4269
2017-04-11_18,288.96524
2017-04-12_00,291.85242
2017-04-12_06,294.68365
2017-04-12_12,294.04382
2017-04-12_18,291.86798
2017-04-13_00,292.70267
2017-04-13_06,290.9378
2017-04-13_12,290.88425
2017-04-13_18,290.63046
2017-04-14_00,291.17828
2017-04-14_06,292.13394
2017-04-14_12,291.068
2017-04-14_18,291.8114
2017-04-15_00,290.43134
2017-04-15_06,293.71652
2017-04-15_12,292.5102
2017-04-15_18,290.66333
2017-04-16_00,289.9928
2017-04-16_06,291.85437
2017-04-16_12,292.74146
2017-04-16_18,290.8768
2017-04-17_00,290.67148
2017-04-17_06,293.50256
2017-04-17_12,294.62848
2017-04-17_18,291.48633
2017-04-18_00,291.8001
2017-04-18_06,294.5406
2017-04-18_12,293.1165
2017-04-18_18,289.33942
2017-04-19_00,289.2757
2017-04-19_06,292.33813
2017-04-19_12,293.43036
2017-04-19_18,290.87183
2017-04-20_00,290.7223
2017-04-20_06,296.4267
2017-04-20_12,296.97986
2017-04-20_18,292.46503
2017-04-21_00,291.9656
2017-04-21_06,295.55624
2017-04-21_12,300.46313
2017-04-21_18,293.38458
2017-04-22_00,292.73657
2017-04-22_06,295.48065
2017-04-22_12,296.52173
2017-04-22_18,290.3457
2017-04-23_00,290.15656
2017-04-23_06,290.76865
2017-04-23_12,289.4965
2017-04-23_18,290.03732
2017-04-24_00,290.57263
2017-04-24_06,293.1533
2017-04-24_12,290.91437
2017-04-24_18,289.9976
2017-04-25_00,291.34097
2017-04-25_06,294.30463
2017-04-25_12,291.21664
2017-04-25_18,290.95917
2017-04-26_00,292.2682
2017-04-26_06,293.3913
2017-04-26_12,292.40482
2017-04-26_18,291.0699
2017-04-27_00,291.95273
2017-04-27_06,294.30753
2017-04-27_12,291.5517
2017-04-27_18,290.81342
2017-04-28_00,291.91125
2017-04-28_06,294.04608
2017-04-28_12,295.49316
2017-04-28_18,291.17807
2017-04-29_00,290.83453
2017-04-29_06,294.65698
2017-04-29_12,297.18558
2017-04-29_18,291.74332
2017-04-30_00,291.46686
2017-04-30_06,293.70288
2017-04-30_12,294.66956
2017-04-30_18,292.32104
2017-05-01_00,292.568
2017-05-01_06,294.59814
2017-05-01_12,291.87787
2017-05-01_18,289.7162
2017-05-02_00,290.7827
2017-05-02_06,293.34387
2017-05-02_12,291.76917
2017-05-02_18,291.3671
2017-05-03_00,292.7281
2017-05-03_06,294.23303
2017-05-03_12,292.03845
2017-05-03_18,291.5114
2017-05-04_00,292.15894
2017-05-04_06,294.1068
2017-05-04_12,293.46173
2017-05-04_18,291.60507
2017-05-05_00,290.43256
2017-05-05_06,294.01086
2017-05-05_12,293.96194
2017-05-05_18,292.24194
2017-05-06_00,291.24823
